session,feature,username,hostname,start_action,start_datetime,end_datetime,duration_min,end_action,product,customer,license_type,count,level,hash_id
"18000197D997075B","CAC","thirada.s","AITS25A1NB0260","Grant","2025-07-30 06:44:48.468","2025-07-30 10:04:45.427","199.95","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-Dassault Systemes V5-18000197D997075B-300725064448-AITS25A1NB0260-thirada.s"
"480001980D1A789C","CAC-MCE","yamonporn.t","AITS25A1NB0210","Grant","2025-07-30 09:18:15.465","2025-07-30 10:14:52.701","56.62","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-480001980D1A789C-300725091815-AITS25A1NB0210-yamonporn.t"
"18000197D9970791","CAC-MCE","pathamalee.r","AHT19ITNB0030","Grant","2025-07-30 11:34:09.549","2025-07-30 12:54:12.851","80.06","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-18000197D9970791-300725113409-AHT19ITNB0030-pathamalee.r"
"28000197D9971533","CAC","thirada.s","AITS25A1NB0260","Grant","2025-07-31 01:25:46.453","2025-07-31 05:19:54.671","234.14","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-Dassault Systemes V5-28000197D9971533-310725012546-AITS25A1NB0260-thirada.s"
"480001980D1A7964","CAC-MCE","yamonporn.t","AITS25A1NB0210","Grant","2025-07-31 06:07:57.314","2025-07-31 06:08:21.314","0.4","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-480001980D1A7964-310725060757-AITS25A1NB0210-yamonporn.t"
"28000197D99715BF","CAC-MCE","pathamalee.r","AHT19ITNB0030","Grant","2025-07-31 09:43:38.548","2025-07-31 09:43:53.244","0.24","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-28000197D99715BF-310725094338-AHT19ITNB0030-pathamalee.r"
"480001980D1A7975","CAC-MCE","pathamalee.r","AHT19ITNB0030","Grant","2025-07-31 06:37:05.716","2025-07-31 09:56:52.433","199.78","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-480001980D1A7975-310725063705-AHT19ITNB0030-pathamalee.r"
"28000197D997158E","CAC","thirada.s","AITS25A1NB0260","Grant","2025-07-31 05:52:40.416","2025-07-31 10:20:06.948","267.44","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-Dassault Systemes V5-28000197D997158E-310725055240-AITS25A1NB0260-thirada.s"
"28000197D9971594","CAC-MCE","wuthinan.j","AHT19ITNB0040","Grant","2025-07-31 06:07:51.404","2025-07-31 10:35:18.932","267.46","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-28000197D9971594-310725060751-AHT19ITNB0040-wuthinan.j"
"28000197D99715CE","CAC-MCE","wuthinan.j","AHT19ITNB0040","Grant","2025-07-31 12:06:14.122","2025-07-31 13:30:29.757","84.26","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-28000197D99715CE-310725120614-AHT19ITNB0040-wuthinan.j"
"28000197D9971629","CAC-MCE","thirada.s","AITS25A1NB0260","Grant","2025-08-01 02:13:03.773","2025-08-01 02:55:04.182","42.01","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-28000197D9971629-010825021303-AITS25A1NB0260-thirada.s"
"18000197D997088B","CAC-MCE","thirada.s","AITS25A1NB0260","Grant","2025-08-01 02:57:07.145","2025-08-01 05:27:59.712","150.88","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-18000197D997088B-010825025707-AITS25A1NB0260-thirada.s"
"28000197D9971631","CAC-MCE","pathamalee.r","AHT19ITNB0030","Grant","2025-08-01 02:42:13.209","2025-08-01 06:53:00.642","250.79","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-28000197D9971631-010825024213-AHT19ITNB0030-pathamalee.r"
"18000197D99708BD","CAC-MCE","pathamalee.r","AHT19ITNB0030","Grant","2025-08-01 06:50:46.501","2025-08-01 09:31:29.918","160.72","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-18000197D99708BD-010825065046-AHT19ITNB0030-pathamalee.r"
"18000197D99708AE","CAC-MCE","thirada.s","AITS25A1NB0260","Grant","2025-08-01 06:00:40.534","2025-08-01 10:28:07.295","267.45","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-18000197D99708AE-010825060040-AITS25A1NB0260-thirada.s"
"18000197D9970870","CAC","wuthinan.j","AHT19ITNB0040","Grant","2025-08-01 01:32:37.796","2025-08-01 11:33:11.291","600.56","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-Dassault Systemes V5-18000197D9970870-010825013237-AHT19ITNB0040-wuthinan.j"
"480001980D1A7B03","CAC-MCE","thirada.s","AITS25A1NB0260","Grant","2025-08-02 03:02:31.504","2025-08-02 03:03:13.491","0.7","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-480001980D1A7B03-020825030231-AITS25A1NB0260-thirada.s"
"18000197D9970919","CAC-MCE","thirada.s","AITS25A1NB0260","Grant","2025-08-02 01:21:41.866","2025-08-02 05:32:29.862","250.8","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-18000197D9970919-020825012141-AITS25A1NB0260-thirada.s"
"480001980D1A7B49","CAC-MCE","thirada.s","AITS25A1NB0260","Grant","2025-08-02 08:32:32.754","2025-08-02 08:32:52.453","0.33","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-480001980D1A7B49-020825083232-AITS25A1NB0260-thirada.s"
"28000197D997171E","CAC-MCE","yamonporn.t","AITS25A1NB0210","Grant","2025-08-02 09:25:35.044","2025-08-02 09:43:14.044","17.65","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-28000197D997171E-020825092535-AITS25A1NB0210-yamonporn.t"
"480001980D1A7B62","CAC-MCE","yamonporn.t","AITS25A1NB0210","Grant","2025-08-02 09:25:39.184","2025-08-02 09:43:18.184","17.65","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-480001980D1A7B62-020825092539-AITS25A1NB0210-yamonporn.t"
"18000197D9970937","CAC-MCE","thirada.s","AITS25A1NB0260","Grant","2025-08-02 06:02:07.477","2025-08-02 10:06:06.043","243.98","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-18000197D9970937-020825060207-AITS25A1NB0260-thirada.s"
"18000197D9970918","CAC","wuthinan.j","AHT19ITNB0040","Grant","2025-08-02 01:13:14.850","2025-08-02 10:23:46.815","550.53","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-Dassault Systemes V5-18000197D9970918-020825011314-AHT19ITNB0040-wuthinan.j"
